ID da Transação;Data;Hora;Produto;Unidade Vendida;Unidade da Cafeteria;Tipo de Cliente;Valor da Venda
1046;2025-06-23;14:15;Cappuccino;3;Centro;Regular;21.0
1047;2025-03-20;18:19;Cappuccino;1;Shopping;Regular;7.0
1048;2025-05-15;08:04;Pão de Queijo;2;Centro;Regular;8.0
1049;2025-05-22;12:36;Pão de Queijo;1;Centro;Regular;4.0
1050;2025-02-16;09:23;Café Espresso;2;Centro;Regular;11.0
1051;2025-09-21;09:33;Bolo de Chocolate;1;Centro;Novo;8.5
1052;2025-07-26;15:44;Pingado;2;Centro;Regular;7.0
1053;2025-09-12;19:47;Cappuccino;2;Shopping;Regular;14.0
1054;2025-08-30;11:33;Bolo de Chocolate;3;Shopping;Regular;25.5
1055;2025-06-05;08:16;Café Espresso;3;Centro;Regular;16.5
1056;2025-09-07;10:24;Bolo de Chocolate;1;Centro;Novo;8.5
1057;2025-01-22;07:59;Cappuccino;1;Centro;Regular;7.0
1058;2025-02-18;12:52;Pão de Queijo;1;Universidade;Regular;4.0
1059;2025-01-12;07:07;Pão de Queijo;1;Shopping;Regular;4.0
1060;2025-03-24;16:14;Café Espresso;3;Rodoviária;Regular;16.5
1061;2025-04-09;18:12;Suco de Laranja;1;Centro;Regular;6.0
1062;2025-03-10;11:19;Pão de Queijo;2;Centro;Novo;8.0
1063;2025-08-10;18:19;Cappuccino;2;Centro;Regular;14.0
1064;2025-04-01;07:34;Chá Gelado;2;Centro;Corporativo;13.0
1065;2025-03-12;20:54;Café Espresso;3;Rodoviária;Regular;16.5
1066;2025-05-21;08:44;Suco de Laranja;1;Shopping;Regular;6.0
1067;2025-02-04;10:57;Cappuccino;2;Shopping;Regular;14.0
1068;2025-08-02;11:05;Pão de Queijo;2;Centro;Regular;8.0
1069;2025-01-19;19:03;Cappuccino;3;Rodoviária;Corporativo;21.0
1070;2025-09-26;11:50;Cappuccino;3;Universidade;Novo;21.0
1071;2025-07-25;12:38;Café Espresso;3;Shopping;Regular;16.5
1072;2025-02-19;09:33;Suco de Laranja;2;Rodoviária;Regular;12.0
1073;2025-01-02;16:06;Suco de Laranja;3;Rodoviária;Novo;18.0
1074;2025-08-06;08:46;Bolo de Chocolate;2;Centro;Regular;17.0
1075;2025-07-06;06:01;Sanduíche Natural;1;Centro;Regular;12.0
1076;2025-07-12;15:15;Chá Gelado;2;Centro;Regular;13.0
1077;2025-07-24;14:59;Pão de Queijo;1;Shopping;Regular;4.0
1078;2025-01-19;20:23;Bolo de Chocolate;2;Centro;Regular;17.0
1079;2025-04-01;20:30;Café Espresso;1;Universidade;Novo;5.5
1080;2025-01-29;19:53;Sanduíche Natural;2;Shopping;Novo;24.0
1081;2025-08-20;19:05;Salgado;2;Universidade;Regular;14.0
1082;2025-06-12;19:16;Café Espresso;2;Shopping;Corporativo;11.0
1083;2025-03-25;07:19;Pão de Queijo;2;Universidade;Corporativo;8.0
1084;2025-01-16;08:16;Chá Gelado;3;Shopping;Regular;19.5
1085;2025-03-20;13:38;Café Espresso;2;Rodoviária;Regular;11.0
1086;2025-03-24;09:31;Cappuccino;2;Universidade;Regular;14.0
1087;2025-07-12;17:43;Cappuccino;3;Shopping;Regular;21.0
1088;2025-06-16;14:26;Cappuccino;3;Shopping;Regular;21.0
1089;2025-08-27;19:51;Café Espresso;3;Rodoviária;Regular;16.5
1090;2025-05-02;06:09;Cappuccino;3;Centro;Novo;21.0
1091;2025-01-30;20:16;Cappuccino;3;Universidade;Regular;21.0
1092;2025-07-08;06:48;Sanduíche Natural;3;Shopping;Regular;36.0
1093;2025-07-21;09:16;Cappuccino;3;Universidade;Novo;21.0
1094;2025-05-26;07:51;Cappuccino;3;Rodoviária;Regular;21.0
1095;2025-07-24;12:33;Cappuccino;3;Shopping;Regular;21.0
1096;2025-05-08;13:12;Café Espresso;3;Shopping;Regular;16.5
1097;2025-05-16;12:56;Pingado;3;Centro;Regular;10.5
1098;2025-04-20;19:53;Salgado;1;Centro;Novo;7.0
1099;2025-01-07;09:21;Pão de Queijo;2;Universidade;Regular;8.0
1100;2025-01-27;20:51;Pão de Queijo;2;Centro;Regular;8.0
1101;2025-01-08;12:40;Bolo de Chocolate;3;Shopping;Novo;25.5
1102;2025-06-16;08:02;Cappuccino;3;Centro;Novo;21.0
1103;2025-03-21;07:32;Café Espresso;1;Centro;Regular;5.5
1104;2025-05-12;19:16;Cappuccino;3;Universidade;Regular;21.0
1105;2025-09-03;18:18;Pingado;1;Centro;Regular;3.5
1106;2025-03-04;19:22;Café Espresso;2;Universidade;Regular;11.0
1107;2025-04-15;20:58;Pão de Queijo;2;Centro;Regular;8.0
1108;2025-07-20;14:13;Café Espresso;3;Centro;Regular;16.5
1109;2025-02-27;07:38;Café Espresso;1;Centro;Regular;5.5
1110;2025-01-19;06:17;Pão de Queijo;1;Centro;Regular;4.0
1111;2025-03-15;11:58;Cappuccino;2;Shopping;Novo;14.0
1112;2025-02-10;10:39;Chá Gelado;2;Centro;Novo;13.0
1113;2025-09-09;17:26;Cappuccino;1;Shopping;Regular;7.0
1114;2025-08-04;07:32;Café Espresso;1;Centro;Regular;5.5
1115;2025-06-15;12:21;Pão de Queijo;2;Centro;Regular;8.0
1116;2025-08-23;13:42;Salgado;1;Universidade;Corporativo;7.0
1117;2025-08-03;20:46;Café Espresso;2;Universidade;Regular;11.0
1118;2025-02-16;18:55;Pão de Queijo;1;Shopping;Regular;4.0
1119;2025-08-29;07:13;Suco de Laranja;3;Centro;Corporativo;18.0
1120;2025-05-20;13:37;Café Espresso;2;Shopping;Regular;11.0
1121;2025-08-04;14:27;Chá Gelado;1;Universidade;Novo;6.5
1122;2025-08-30;12:17;Cappuccino;2;Shopping;Regular;14.0
1123;2025-03-22;13:40;Café Espresso;1;Centro;Regular;5.5
1124;2025-01-28;12:35;Pão de Queijo;3;Shopping;Regular;12.0
1125;2025-02-27;14:35;Café Espresso;3;Rodoviária;Corporativo;16.5
1126;2025-04-20;17:03;Bolo de Chocolate;3;Shopping;Regular;25.5
1127;2025-08-07;14:29;Pão de Queijo;2;Shopping;Regular;8.0
1128;2025-08-20;13:19;Café Espresso;3;Centro;Corporativo;16.5
1129;2025-01-02;19:55;Chá Gelado;2;Shopping;Novo;13.0
1130;2025-05-12;20:23;Bolo de Chocolate;3;Centro;Regular;25.5
1131;2025-04-17;12:25;Pão de Queijo;2;Centro;Regular;8.0
1132;2025-02-25;18:53;Cappuccino;3;Universidade;Regular;21.0
1133;2025-01-30;13:54;Café Espresso;1;Centro;Novo;5.5
1134;2025-03-27;10:43;Suco de Laranja;1;Rodoviária;Novo;6.0
1135;2025-09-13;18:28;Salgado;2;Centro;Regular;14.0
1136;2025-03-23;09:13;Café Espresso;3;Shopping;Regular;16.5
1137;2025-05-14;17:49;Pão de Queijo;3;Centro;Novo;12.0
1138;2025-07-05;16:55;Pão de Queijo;1;Shopping;Regular;4.0
1139;2025-04-03;14:51;Cappuccino;3;Rodoviária;Novo;21.0
1140;2025-09-22;09:20;Salgado;3;Centro;Regular;21.0
1141;2025-09-19;07:38;Café Espresso;2;Rodoviária;Novo;11.0
1142;2025-03-05;20:52;Café Espresso;1;Shopping;Regular;5.5
1143;2025-05-09;11:47;Café Espresso;3;Universidade;Novo;16.5
1144;2025-03-17;09:23;Cappuccino;3;Centro;Regular;21.0
1145;2025-03-13;13:27;Cappuccino;2;Universidade;Regular;14.0
1146;2025-01-10;10:15;Sanduíche Natural;2;Centro;Regular;24.0
1147;2025-06-09;17:53;Suco de Laranja;2;Rodoviária;Regular;12.0
1148;2025-05-10;08:16;Café Espresso;2;Universidade;Novo;11.0
1149;2025-01-13;14:56;Suco de Laranja;3;Shopping;Regular;18.0
1150;2025-03-12;08:51;Bolo de Chocolate;3;Rodoviária;Novo;25.5
1151;2025-09-03;18:38;Cappuccino;3;Centro;Novo;21.0
1152;2025-03-02;07:11;Café Espresso;2;Rodoviária;Corporativo;11.0
1153;2025-02-05;08:47;Café Espresso;3;Universidade;Novo;16.5
1154;2025-05-07;11:58;Café Espresso;1;Centro;Regular;5.5
1155;2025-09-26;13:48;Salgado;1;Shopping;Regular;7.0
1156;2025-03-02;09:14;Pão de Queijo;3;Universidade;Novo;12.0
1157;2025-06-26;06:01;Chá Gelado;2;Shopping;Novo;13.0
1158;2025-07-22;13:21;Salgado;1;Shopping;Regular;7.0
1159;2025-03-01;14:01;Cappuccino;3;Centro;Regular;21.0
1160;2025-07-12;08:08;Sanduíche Natural;1;Centro;Regular;12.0
1161;2025-04-04;14:12;Café Espresso;1;Rodoviária;Regular;5.5
1162;2025-06-15;11:29;Café Espresso;1;Centro;Regular;5.5
1163;2025-06-15;20:50;Bolo de Chocolate;1;Rodoviária;Regular;8.5
1164;2025-05-19;10:14;Cappuccino;3;Centro;Regular;21.0
1165;2025-01-23;07:06;Cappuccino;1;Shopping;Regular;7.0
1166;2025-08-12;15:10;Bolo de Chocolate;3;Centro;Regular;25.5
1167;2025-03-23;13:37;Sanduíche Natural;1;Rodoviária;Regular;12.0
1168;2025-02-16;13:01;Cappuccino;1;Centro;Regular;7.0
1169;2025-01-11;08:47;Cappuccino;1;Shopping;Regular;7.0
1170;2025-06-03;12:09;Pão de Queijo;3;Universidade;Novo;12.0
1171;2025-06-28;17:16;Bolo de Chocolate;1;Universidade;Regular;8.5
1172;2025-01-05;12:53;Café Espresso;1;Universidade;Regular;5.5
1173;2025-05-13;13:38;Chá Gelado;2;Rodoviária;Novo;13.0
1174;2025-02-26;09:34;Bolo de Chocolate;1;Rodoviária;Novo;8.5
1175;2025-06-18;08:46;Bolo de Chocolate;2;Universidade;Regular;17.0
1176;2025-02-13;09:30;Chá Gelado;3;Shopping;Regular;19.5
1177;2025-07-01;14:40;Chá Gelado;1;Shopping;Regular;6.5
1178;2025-04-09;18:17;Café Espresso;1;Centro;Regular;5.5
1179;2025-09-11;10:47;Café Espresso;2;Universidade;Novo;11.0
1180;2025-02-04;06:35;Suco de Laranja;2;Centro;Regular;12.0
1181;2025-03-28;07:07;Espresso Duplo;1;Universidade;Novo;8.0
1182;2025-01-29;09:47;Bolo de Chocolate;3;Shopping;Regular;25.5
1183;2025-09-08;10:42;Cappuccino;2;Rodoviária;Regular;14.0
1184;2025-08-25;09:52;Bolo de Chocolate;1;Centro;Corporativo;8.5
1185;2025-03-06;10:20;Café Espresso;2;Universidade;Novo;11.0
1186;2025-06-23;16:18;Pingado;3;Shopping;Novo;10.5
1187;2025-08-07;12:50;Cappuccino;2;Rodoviária;Regular;14.0
1188;2025-05-24;07:50;Chá Gelado;1;Centro;Regular;6.5
1189;2025-05-17;16:34;Cappuccino;2;Centro;Regular;14.0
1190;2025-03-02;13:51;Chá Gelado;3;Shopping;Corporativo;19.5
1191;2025-01-23;08:41;Cappuccino;1;Shopping;Regular;7.0
1192;2025-08-30;10:51;Suco de Laranja;1;Centro;Corporativo;6.0
1193;2025-08-31;14:07;Espresso Duplo;1;Rodoviária;Novo;8.0
1194;2025-06-15;16:15;Bolo de Chocolate;1;Centro;Regular;8.5
1195;2025-03-27;12:46;Bolo de Chocolate;3;Shopping;Regular;25.5
1196;2025-03-30;13:20;Café Espresso;1;Centro;Novo;5.5
1197;2025-07-11;09:22;Pão de Queijo;3;Centro;Novo;12.0
1198;2025-08-30;06:37;Sanduíche Natural;3;Rodoviária;Regular;36.0
1199;2025-08-27;20:07;Café Espresso;2;Shopping;Regular;11.0
1200;2025-07-27;12:01;Salgado;2;Rodoviária;Regular;14.0
1201;2025-06-18;19:12;Bolo de Chocolate;1;Universidade;Regular;8.5
1202;2025-01-21;19:22;Café Espresso;1;Universidade;Novo;5.5
1203;2025-02-10;18:37;Cappuccino;3;Shopping;Corporativo;21.0
1204;2025-08-31;18:36;Cappuccino;2;Rodoviária;Regular;14.0
1205;2025-06-08;09:32;Café Espresso;1;Shopping;Novo;5.5
1206;2025-01-03;18:49;Chá Gelado;1;Shopping;Regular;6.5
1207;2025-01-26;20:22;Suco de Laranja;3;Centro;Regular;18.0
1208;2025-06-24;15:02;Cappuccino;2;Shopping;Regular;14.0
1209;2025-01-02;10:55;Cappuccino;1;Rodoviária;Novo;7.0
1210;2025-02-09;18:44;Bolo de Chocolate;1;Shopping;Regular;8.5
1211;2025-05-23;13:21;Cappuccino;1;Universidade;Regular;7.0
1212;2025-07-02;10:28;Café Espresso;1;Centro;Corporativo;5.5
1213;2025-06-20;07:40;Cappuccino;1;Rodoviária;Corporativo;7.0
1214;2025-02-26;06:58;Sanduíche Natural;1;Centro;Regular;12.0
1215;2025-07-07;07:44;Café Espresso;2;Rodoviária;Regular;11.0
1216;2025-03-01;06:43;Cappuccino;3;Rodoviária;Corporativo;21.0
1217;2025-03-24;09:51;Espresso Duplo;3;Centro;Novo;24.0
1218;2025-07-17;10:36;Café Espresso;3;Shopping;Corporativo;16.5
1219;2025-06-20;13:26;Chá Gelado;1;Universidade;Regular;6.5
1220;2025-08-16;20:58;Cappuccino;3;Shopping;Regular;21.0
1221;2025-06-22;08:05;Café Espresso;2;Centro;Regular;11.0
1222;2025-05-28;17:44;Café Espresso;1;Universidade;Regular;5.5
1223;2025-01-24;17:18;Café Espresso;2;Shopping;Corporativo;11.0
1224;2025-04-04;18:17;Café Espresso;1;Centro;Novo;5.5
1225;2025-03-08;13:00;Café Espresso;1;Centro;Regular;5.5
1226;2025-03-03;14:26;Cappuccino;3;Shopping;Regular;21.0
1227;2025-09-22;12:43;Café Espresso;2;Centro;Novo;11.0
1228;2025-04-11;15:28;Bolo de Chocolate;3;Universidade;Regular;25.5
1229;2025-08-29;20:43;Salgado;1;Universidade;Novo;7.0
1230;2025-06-15;16:35;Sanduíche Natural;2;Centro;Regular;24.0
1231;2025-07-31;08:05;Pão de Queijo;2;Shopping;Regular;8.0
1232;2025-05-10;14:30;Espresso Duplo;1;Universidade;Novo;8.0
1233;2025-05-30;14:19;Café Espresso;3;Rodoviária;Regular;16.5
1234;2025-05-07;15:36;Café Espresso;1;Shopping;Regular;5.5
1235;2025-02-18;16:12;Cappuccino;2;Rodoviária;Regular;14.0
1236;2025-07-10;14:01;Salgado;2;Centro;Novo;14.0
1237;2025-03-12;07:20;Sanduíche Natural;2;Shopping;Regular;24.0
1238;2025-01-06;06:23;Bolo de Chocolate;1;Centro;Regular;8.5
1239;2025-06-19;10:43;Cappuccino;2;Shopping;Regular;14.0
1240;2025-02-14;15:33;Bolo de Chocolate;2;Shopping;Regular;17.0
1241;2025-09-12;17:08;Café Espresso;3;Universidade;Novo;16.5
1242;2025-09-16;07:54;Pão de Queijo;3;Rodoviária;Novo;12.0
1243;2025-09-05;13:29;Pão de Queijo;2;Rodoviária;Novo;8.0
1244;2025-04-05;11:45;Café Espresso;3;Centro;Regular;16.5
1245;2025-01-04;16:54;Café Espresso;1;Centro;Novo;5.5
1246;2025-09-09;16:16;Suco de Laranja;3;Centro;Novo;18.0
1247;2025-04-20;09:12;Pão de Queijo;3;Centro;Regular;12.0
1248;2025-09-20;12:15;Cappuccino;3;Centro;Regular;21.0
1249;2025-09-19;06:44;Cappuccino;3;Shopping;Regular;21.0
1250;2025-08-17;06:10;Espresso Duplo;1;Rodoviária;Regular;8.0
1251;2025-03-16;11:19;Cappuccino;3;Shopping;Regular;21.0
1252;2025-04-09;08:43;Café Espresso;2;Rodoviária;Regular;11.0
1253;2025-08-17;20:36;Pão de Queijo;3;Rodoviária;Regular;12.0
1254;2025-03-22;14:25;Bolo de Chocolate;3;Shopping;Novo;25.5
1255;2025-02-12;15:11;Café Espresso;2;Universidade;Novo;11.0
1256;2025-05-25;19:29;Cappuccino;1;Centro;Regular;7.0
1257;2025-09-11;17:26;Cappuccino;2;Shopping;Regular;14.0
1258;2025-07-03;15:18;Pão de Queijo;2;Shopping;Novo;8.0
1259;2025-05-29;10:57;Cappuccino;2;Centro;Regular;14.0
1260;2025-01-25;10:40;Bolo de Chocolate;2;Shopping;Regular;17.0
1261;2025-06-10;16:27;Espresso Duplo;3;Shopping;Regular;24.0
1262;2025-09-27;15:26;Chá Gelado;3;Universidade;Novo;19.5
1263;2025-02-04;09:48;Bolo de Chocolate;3;Rodoviária;Regular;25.5
1264;2025-05-14;15:20;Pão de Queijo;3;Universidade;Novo;12.0
1265;2025-08-25;06:53;Salgado;1;Shopping;Regular;7.0
1266;2025-07-16;17:47;Salgado;3;Centro;Novo;21.0
1267;2025-07-03;15:57;Salgado;3;Shopping;Regular;21.0
1268;2025-07-05;20:54;Café Espresso;1;Centro;Corporativo;5.5
1269;2025-04-02;06:25;Café Espresso;2;Centro;Regular;11.0
1270;2025-03-16;09:24;Pingado;3;Centro;Regular;10.5
1271;2025-08-05;18:32;Espresso Duplo;3;Shopping;Regular;24.0
1272;2025-08-05;14:07;Pão de Queijo;2;Shopping;Corporativo;8.0
1273;2025-08-21;10:05;Pingado;3;Centro;Novo;10.5
1274;2025-09-04;12:51;Suco de Laranja;2;Centro;Regular;12.0
1275;2025-05-12;19:13;Pão de Queijo;2;Universidade;Regular;8.0
1276;2025-05-10;11:22;Cappuccino;2;Universidade;Regular;14.0
1277;2025-08-01;16:30;Pão de Queijo;3;Shopping;Regular;12.0
1278;2025-06-20;11:10;Pão de Queijo;2;Centro;Regular;8.0
1279;2025-07-05;18:11;Pingado;3;Centro;Regular;10.5
1280;2025-08-01;11:01;Pão de Queijo;1;Centro;Novo;4.0
1281;2025-08-28;10:34;Salgado;2;Universidade;Regular;14.0
1282;2025-03-27;12:35;Salgado;3;Shopping;Regular;21.0
1283;2025-04-06;06:27;Café Espresso;2;Universidade;Regular;11.0
1284;2025-01-24;17:21;Café Espresso;3;Shopping;Corporativo;16.5
1285;2025-05-31;11:06;Bolo de Chocolate;3;Universidade;Regular;25.5
1286;2025-01-09;20:31;Cappuccino;1;Shopping;Regular;7.0
1287;2025-04-30;16:23;Bolo de Chocolate;2;Centro;Novo;17.0
1288;2025-05-21;20:02;Café Espresso;3;Centro;Novo;16.5
1289;2025-03-14;19:05;Cappuccino;1;Universidade;Novo;7.0
1290;2025-06-03;15:01;Café Espresso;3;Shopping;Novo;16.5
1291;2025-01-08;18:13;Cappuccino;3;Centro;Regular;21.0
1292;2025-01-10;14:17;Café Espresso;1;Universidade;Regular;5.5
1293;2025-08-08;08:43;Pingado;2;Centro;Novo;7.0
1294;2025-04-02;20:12;Cappuccino;1;Shopping;Corporativo;7.0
1295;2025-02-01;15:43;Chá Gelado;2;Rodoviária;Regular;13.0
1296;2025-05-15;17:17;Pingado;3;Centro;Regular;10.5
1297;2025-07-24;14:48;Chá Gelado;3;Centro;Regular;19.5
1298;2025-02-23;10:47;Pão de Queijo;1;Shopping;Novo;4.0
1299;2025-06-12;06:52;Suco de Laranja;1;Shopping;Regular;6.0
1300;2025-01-22;13:39;Café Espresso;1;Centro;Novo;5.5
1301;2025-01-13;16:23;Café Espresso;3;Shopping;Regular;16.5
1302;2025-05-18;07:07;Sanduíche Natural;2;Centro;Regular;24.0
1303;2025-05-20;17:52;Café Espresso;1;Centro;Novo;5.5
1304;2025-06-16;20:32;Pingado;2;Universidade;Novo;7.0
1305;2025-07-11;12:12;Bolo de Chocolate;1;Universidade;Regular;8.5
1306;2025-09-23;11:52;Cappuccino;1;Universidade;Regular;7.0
1307;2025-05-14;06:13;Café Espresso;1;Centro;Regular;5.5
1308;2025-03-23;19:15;Suco de Laranja;1;Universidade;Regular;6.0
1309;2025-07-31;06:37;Pão de Queijo;3;Shopping;Novo;12.0
1310;2025-03-10;15:59;Suco de Laranja;3;Shopping;Novo;18.0
1311;2025-04-23;12:25;Cappuccino;1;Shopping;Regular;7.0
1312;2025-01-20;15:00;Café Espresso;3;Rodoviária;Regular;16.5
1313;2025-01-07;14:14;Cappuccino;3;Universidade;Novo;21.0
1314;2025-09-19;09:20;Cappuccino;3;Shopping;Corporativo;21.0
1315;2025-08-12;07:29;Café Espresso;3;Universidade;Regular;16.5
1316;2025-07-03;17:57;Café Espresso;2;Universidade;Regular;11.0
1317;2025-04-15;18:23;Cappuccino;2;Centro;Novo;14.0
1318;2025-02-13;19:01;Suco de Laranja;3;Shopping;Regular;18.0
1319;2025-02-08;08:46;Bolo de Chocolate;2;Centro;Novo;17.0
1320;2025-03-04;17:46;Café Espresso;1;Centro;Novo;5.5
1321;2025-05-23;14:49;Bolo de Chocolate;2;Universidade;Novo;17.0
1322;2025-07-08;19:05;Bolo de Chocolate;1;Rodoviária;Regular;8.5
1323;2025-06-23;17:19;Pão de Queijo;2;Centro;Corporativo;8.0
1324;2025-03-12;12:29;Pão de Queijo;2;Centro;Novo;8.0
1325;2025-09-17;19:37;Cappuccino;1;Shopping;Novo;7.0
1326;2025-07-15;15:29;Café Espresso;1;Centro;Novo;5.5
1327;2025-05-24;14:29;Cappuccino;3;Universidade;Regular;21.0
1328;2025-06-09;14:57;Cappuccino;2;Shopping;Regular;14.0
1329;2025-04-18;09:48;Pão de Queijo;1;Shopping;Regular;4.0
1330;2025-03-04;07:15;Sanduíche Natural;3;Centro;Regular;36.0
1331;2025-04-01;13:13;Cappuccino;1;Universidade;Regular;7.0
1332;2025-07-21;15:07;Suco de Laranja;3;Centro;Novo;18.0
1333;2025-01-04;19:30;Salgado;3;Centro;Regular;21.0
1334;2025-01-29;07:47;Café Espresso;1;Shopping;Novo;5.5
1335;2025-01-12;09:00;Chá Gelado;1;Centro;Regular;6.5
1336;2025-01-11;12:19;Café Espresso;2;Universidade;Corporativo;11.0
1337;2025-08-18;16:13;Chá Gelado;2;Centro;Regular;13.0
1338;2025-07-05;13:24;Café Espresso;3;Rodoviária;Novo;16.5
1339;2025-05-02;17:24;Cappuccino;1;Centro;Novo;7.0
1340;2025-01-25;08:04;Bolo de Chocolate;2;Shopping;Regular;17.0
1341;2025-05-07;11:53;Chá Gelado;3;Shopping;Novo;19.5
1342;2025-05-02;15:39;Cappuccino;2;Rodoviária;Regular;14.0
1343;2025-02-13;11:37;Suco de Laranja;3;Universidade;Regular;18.0
1344;2025-04-22;09:06;Suco de Laranja;2;Centro;Novo;12.0
1345;2025-04-12;19:29;Café Espresso;1;Shopping;Regular;5.5
1346;2025-06-10;13:18;Pão de Queijo;3;Shopping;Regular;12.0
1347;2025-06-16;12:34;Pão de Queijo;3;Universidade;Regular;12.0
1348;2025-01-12;13:32;Cappuccino;2;Shopping;Regular;14.0
1349;2025-04-06;06:13;Suco de Laranja;2;Shopping;Novo;12.0
1350;2025-06-13;11:09;Chá Gelado;2;Universidade;Regular;13.0
1351;2025-05-10;14:27;Suco de Laranja;1;Shopping;Regular;6.0
1352;2025-08-18;19:35;Pingado;2;Rodoviária;Regular;7.0
1353;2025-06-22;11:15;Café Espresso;2;Rodoviária;Regular;11.0
1354;2025-02-10;17:20;Café Espresso;1;Universidade;Regular;5.5
1355;2025-01-18;17:32;Chá Gelado;2;Rodoviária;Corporativo;13.0
1356;2025-06-18;11:40;Chá Gelado;1;Shopping;Regular;6.5
1357;2025-01-07;20:14;Café Espresso;1;Shopping;Regular;5.5
1358;2025-06-02;17:02;Cappuccino;2;Centro;Regular;14.0
1359;2025-09-12;16:46;Salgado;1;Rodoviária;Regular;7.0
1360;2025-05-30;08:13;Café Espresso;2;Shopping;Novo;11.0
1361;2025-04-09;07:28;Cappuccino;1;Shopping;Corporativo;7.0
1362;2025-06-18;09:25;Bolo de Chocolate;3;Rodoviária;Corporativo;25.5
1363;2025-04-28;08:11;Pingado;2;Universidade;Novo;7.0
1364;2025-05-22;07:16;Salgado;3;Centro;Regular;21.0
1365;2025-09-13;08:09;Suco de Laranja;3;Centro;Regular;18.0
1366;2025-04-09;11:40;Cappuccino;3;Centro;Regular;21.0
1367;2025-09-19;16:20;Bolo de Chocolate;3;Centro;Regular;25.5
1368;2025-09-02;20:34;Café Espresso;2;Centro;Regular;11.0
1369;2025-02-18;19:20;Pingado;1;Centro;Regular;3.5
1370;2025-01-18;10:20;Pão de Queijo;2;Shopping;Corporativo;8.0
1371;2025-01-25;17:43;Bolo de Chocolate;2;Centro;Novo;17.0
1372;2025-01-05;12:04;Sanduíche Natural;1;Centro;Regular;12.0
1373;2025-01-24;12:08;Café Espresso;3;Universidade;Regular;16.5
1374;2025-06-29;10:17;Pingado;1;Shopping;Regular;3.5
1375;2025-01-18;10:07;Cappuccino;3;Shopping;Regular;21.0
